timestamp,btc_inter-entity-flows_miner-to-exchange_date,btc_inter-entity-flows_miner-to-exchange_flow_mean,btc_inter-entity-flows_miner-to-exchange_flow_total,btc_inter-entity-flows_miner-to-exchange_transactions_count_flow,btc_exchange-flows_inflow_date,btc_exchange-flows_inflow_inflow_mean,btc_exchange-flows_inflow_inflow_mean_ma7,btc_exchange-flows_inflow_inflow_top10,btc_exchange-flows_inflow_inflow_total,btc_exchange-flows_outflow_date,btc_exchange-flows_outflow_outflow_mean,btc_exchange-flows_outflow_outflow_mean_ma7,btc_exchange-flows_outflow_outflow_top10,btc_exchange-flows_outflow_outflow_total,btc_flow-indicator_exchange-whale-ratio_date,btc_flow-indicator_exchange-whale-ratio_exchange_whale_ratio,btc_flow-indicator_fund-flow-ratio_date,btc_flow-indicator_fund-flow-ratio_fund_flow_ratio,btc_flow-indicator_stablecoins-ratio_date,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio_usd,btc_market-indicator_mvrv_date,btc_market-indicator_mvrv_mvrv,btc_market-indicator_sopr-ratio_date,btc_market-indicator_sopr-ratio_sopr_ratio,coinglass_futures_openInterest_ohlc-history_c,coinglass_futures_openInterest_ohlc-history_h,coinglass_futures_openInterest_ohlc-history_l,coinglass_futures_openInterest_ohlc-history_o,coinglass_futures_openInterest_ohlc-history_t,coinglass_futures_fundingRate_ohlc-history_c,coinglass_futures_fundingRate_ohlc-history_h,coinglass_futures_fundingRate_ohlc-history_l,coinglass_futures_fundingRate_ohlc-history_o,coinglass_futures_fundingRate_ohlc-history_t,coinglass_futures_liquidation_v2_history_longLiquidationUsd,coinglass_futures_liquidation_v2_history_shortLiquidationUsd,coinglass_futures_liquidation_v2_history_t,coinglass_price_ohlc-history_c,coinglass_price_ohlc-history_h,coinglass_price_ohlc-history_l,coinglass_price_ohlc-history_o,coinglass_price_ohlc-history_t,coinglass_price_ohlc-history_v,data_source
1970-01-01 00:27:52.794000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16696.1,16730,16652.3,16655.6,1672794000,238573399.2723,REAL
1970-01-01 00:27:52.797600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16729,16749.8,16695.5,16696.1,1672797600,180263848.2345,REAL
1970-01-01 00:27:52.801200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16855.9,16870,16729,16729.1,1672801200,684601479.7865,REAL
1970-01-01 00:27:52.804800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16852.4,16904.4,16841,16855.9,1672804800,352553580.5223,REAL
1970-01-01 00:27:52.808400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16848.3,16856.5,16832.3,16852.5,1672808400,132319429.502,REAL
1970-01-01 00:27:52.812000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16872.9,16872.9,16842.2,16848.3,1672812000,109911177.0925,REAL
1970-01-01 00:27:52.815600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16862.5,16885.4,16841.1,16872.8,1672815600,161943003.1402,REAL
1970-01-01 00:27:52.819200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16857.1,16913.6,16826.7,16862.5,1672819200,314659134.5222,REAL
1970-01-01 00:27:52.822800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16838.9,16860.4,16824.5,16857.1,1672822800,111422782.5021,REAL
1970-01-01 00:27:52.826400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16838,16840.9,16826.1,16838.9,1672826400,81608332.7299,REAL
1970-01-01 00:27:52.830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16826.8,16847.4,16826.2,16837.9,1672830000,76804037.7673,REAL
1970-01-01 00:27:52.833600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16808,16838.7,16800.1,16826.7,1672833600,183072436.173,REAL
1970-01-01 00:27:52.837200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16820.1,16829.8,16804.3,16808,1672837200,93905522.4757,REAL
1970-01-01 00:27:52.840800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16821,16852.1,16789,16820.2,1672840800,267207662.5609,REAL
1970-01-01 00:27:52.844400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16846.5,16850.4,16759.3,16820.9,1672844400,472447662.4329,REAL
1970-01-01 00:27:52.848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16850.7,16890.8,16824.3,16846.5,1672848000,310315960.8109,REAL
1970-01-01 00:27:52.851600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16885.4,16945.6,16841.8,16850.8,1672851600,352866979.3451,REAL
1970-01-01 00:27:52.855200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16942,16980,16864,16885.4,1672855200,398557259.0309,REAL
1970-01-01 00:27:52.858800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16835.9,16984.6,16777.7,16941.9,1672858800,786186966.7015,REAL
1970-01-01 00:27:52.862400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16801.2,16844.2,16766,16835.9,1672862400,244456776.9945,REAL
