start_time,date,mvrv
1691452800000,2023-08-08,1.46344935
1691539200000,2023-08-09,1.45362586
1691625600000,2023-08-10,1.44629596
1691712000000,2023-08-11,1.44443214
1691798400000,2023-08-12,1.44160746
1691884800000,2023-08-13,1.43797054
1691971200000,2023-08-14,1.44453955
1692057600000,2023-08-15,1.43223361
1692144000000,2023-08-16,1.40992328
1692230400000,2023-08-17,1.30799829
1692316800000,2023-08-18,1.28142472
1692403200000,2023-08-19,1.28338216
1692489600000,2023-08-20,1.28792318
1692576000000,2023-08-21,1.28552142
1692662400000,2023-08-22,1.28140857
1692748800000,2023-08-23,1.30105581
1692835200000,2023-08-24,1.29009522
1692921600000,2023-08-25,1.28422793
1693008000000,2023-08-26,1.28150146
1693094400000,2023-08-27,1.28535929
1693180800000,2023-08-28,1.28623591
1693267200000,2023-08-29,1.36622349
1693353600000,2023-08-30,1.34640792
1693440000000,2023-08-31,1.27866412
1693526400000,2023-09-01,1.27254344
1693612800000,2023-09-02,1.27601498
1693699200000,2023-09-03,1.28188928
1693785600000,2023-09-04,1.27453992
1693872000000,2023-09-05,1.27277417
1693958400000,2023-09-06,1.27116809
1694044800000,2023-09-07,1.29649944
1694131200000,2023-09-08,1.27912519
1694217600000,2023-09-09,1.27884834
1694304000000,2023-09-10,1.27543894
1694390400000,2023-09-11,1.24268084
1694476800000,2023-09-12,1.27664432
1694563200000,2023-09-13,1.29547216
1694649600000,2023-09-14,1.31011888
1694736000000,2023-09-15,1.31315341
1694822400000,2023-09-16,1.31182885
1694908800000,2023-09-17,1.31009209
1694995200000,2023-09-18,1.32065827
1695081600000,2023-09-19,1.34238842
1695168000000,2023-09-20,1.33776693
1695254400000,2023-09-21,1.31047761
1695340800000,2023-09-22,1.31118576
1695427200000,2023-09-23,1.31112517
1695513600000,2023-09-24,1.2955414
1695600000000,2023-09-25,1.29729994
1695686400000,2023-09-26,1.29314289
1695772800000,2023-09-27,1.30047498
1695859200000,2023-09-28,1.33337596
1695945600000,2023-09-29,1.32723395
1696032000000,2023-09-30,1.32970934
1696118400000,2023-10-01,1.38083453
1696204800000,2023-10-02,1.35568336
1696291200000,2023-10-03,1.35222433
1696377600000,2023-10-04,1.3690477
1696464000000,2023-10-05,1.35099075
1696550400000,2023-10-06,1.37682086
1696636800000,2023-10-07,1.37793016
1696723200000,2023-10-08,1.37577702
1696809600000,2023-10-09,1.35999109
1696896000000,2023-10-10,1.34860004
1696982400000,2023-10-11,1.32360712
1697068800000,2023-10-12,1.31756977
1697155200000,2023-10-13,1.32312681
1697241600000,2023-10-14,1.32210972
1697328000000,2023-10-15,1.33758929
1697414400000,2023-10-16,1.40308361
1697500800000,2023-10-17,1.39735705
1697587200000,2023-10-18,1.39292537
1697673600000,2023-10-19,1.41254128
1697760000000,2023-10-20,1.45820131
1697846400000,2023-10-21,1.46959898
1697932800000,2023-10-22,1.47377427
1698019200000,2023-10-23,1.62180793
1698105600000,2023-10-24,1.65818904
1698192000000,2023-10-25,1.68401912
1698278400000,2023-10-26,1.6646263
1698364800000,2023-10-27,1.65066238
1698451200000,2023-10-28,1.65882687
1698537600000,2023-10-29,1.67972007
1698624000000,2023-10-30,1.67582625
1698710400000,2023-10-31,1.6823578
1698796800000,2023-11-01,1.716338
1698883200000,2023-11-02,1.69204123
1698969600000,2023-11-03,1.67985211
1699056000000,2023-11-04,1.69532344
1699142400000,2023-11-05,1.692506
1699228800000,2023-11-06,1.6936217
1699315200000,2023-11-07,1.70977843
1699401600000,2023-11-08,1.71886857
1699488000000,2023-11-09,1.76566578
1699574400000,2023-11-10,1.7927248
1699660800000,2023-11-11,1.78306727
1699747200000,2023-11-12,1.77972713
1699833600000,2023-11-13,1.74875206
1699920000000,2023-11-14,1.70485287
1700006400000,2023-11-15,1.81514543
1700092800000,2023-11-16,1.73078008
1700179200000,2023-11-17,1.75254871
1700265600000,2023-11-18,1.7503449
1700352000000,2023-11-19,1.78723103
1700438400000,2023-11-20,1.78935734
1700524800000,2023-11-21,1.7038699
1700611200000,2023-11-22,1.77060911
1700697600000,2023-11-23,1.77702436
1700784000000,2023-11-24,1.79571724
1700870400000,2023-11-25,1.79801168
1700956800000,2023-11-26,1.7817409
1701043200000,2023-11-27,1.77110618
1701129600000,2023-11-28,1.79725497
1701216000000,2023-11-29,1.79763035
1701302400000,2023-11-30,1.79033141
1701388800000,2023-12-01,1.83320341
1701475200000,2023-12-02,1.86876249
1701561600000,2023-12-03,1.89177189
1701648000000,2023-12-04,1.98070809
1701734400000,2023-12-05,2.07464214
1701820800000,2023-12-06,2.05255158
1701907200000,2023-12-07,2.02636041
1701993600000,2023-12-08,2.0659048
1702080000000,2023-12-09,2.04191357
1702166400000,2023-12-10,2.04431933
1702252800000,2023-12-11,1.92361287
1702339200000,2023-12-12,1.93111048
1702425600000,2023-12-13,1.99444617
1702512000000,2023-12-14,1.99919883
1702598400000,2023-12-15,1.94565428
1702684800000,2023-12-16,1.95976088
1702771200000,2023-12-17,1.91740808
1702857600000,2023-12-18,1.97488882
1702944000000,2023-12-19,1.95448699
1703030400000,2023-12-20,2.01462524
1703116800000,2023-12-21,2.02314597
1703203200000,2023-12-22,2.02635772
1703289600000,2023-12-23,2.01231961
1703376000000,2023-12-24,1.97663057
1703462400000,2023-12-25,2.00252523
1703548800000,2023-12-26,1.95082499
1703635200000,2023-12-27,1.98837566
1703721600000,2023-12-28,1.94588205
1703808000000,2023-12-29,1.92028716
1703894400000,2023-12-30,1.92263143
1703980800000,2023-12-31,1.92799955
